EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,6,5,4,9,7,6,9,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
9,8,6,5,4,9,7,6,9,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
9,8,6,5,4,9,7,8,9,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
9,8,6,5,5,9,8,8,9,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
9,8,9,7,5,9,7,7,9,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
7,9,10,8,6,8,7,7,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
5,10,10,8,9,9,10,8,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
6,10,8,10,4,10,9,9,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
6,9,9,10,5,8,9,9,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
5,9,8,10,9,8,9,9,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
5,8,9,10,8,9,10,8,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
