EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,12,12,10,11,10,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
11,10,12,12,10,11,11,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,10,11,12,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
11,10,12,12,10,11,12,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,10,12,12,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
11,10,12,11,12,12,12,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,12,12,12,12,11,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,12,12,12,12,11,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,12,12,12,12,11,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,12,12,12,12,11,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
12,10,12,12,12,12,12,12,12,13,arvutipark; port; thomas; blogi; internet; globaalne; suurelt; arvuti; watson; kristjan; mõtlema; tehnoloogia
