EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,9,7,8,8,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,8,9,7,8,8,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,7,7,8,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,7,7,7,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,7,8,8,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,8,8,9,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,8,9,9,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,8,9,9,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,8,8,9,9,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,9,9,9,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
9,9,9,9,9,9,9,9,9,11,epideemia; kriisivalmidus; kuritegevus; port; sotsiaalmeedia; kristjan; sihtrühm; informatsioon; viirus
