EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,10,10,7,10,10,10,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,7,10,10,7,10,10,10,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,7,11,10,7,10,10,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,7,11,11,7,10,10,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,8,11,11,7,11,11,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,7,11,11,8,11,11,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,7,11,11,10,11,11,11,11,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,10,11,11,9,11,11,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,11,11,10,11,11,11,11,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,11,11,10,11,11,11,11,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,11,11,10,11,11,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
