EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,6,3,5,5,5,6,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
6,7,4,8,3,5,5,6,6,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
6,7,4,9,3,5,5,8,6,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
6,7,5,9,3,6,6,9,6,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
7,7,6,8,2,7,6,9,6,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
8,9,7,8,2,7,6,9,6,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; riik; erakond; süld; homoseksuaalne; probleem
8,9,8,9,4,7,7,9,7,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; riik; erakond; süld; homoseksuaalne; probleem
8,7,8,9,5,7,8,11,7,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
9,7,8,9,8,7,9,11,7,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
9,9,9,8,7,6,9,10,6,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
7,9,9,9,9,6,9,10,6,12,urmas; viilm; heteroseksuaalne; meelis; poliitika; kirik; erakond; riik; süld; homoseksuaalne; probleem
