EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,5,10,4,4,4,7,7,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
9,9,5,10,4,6,5,6,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
10,9,5,8,4,7,6,7,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
10,9,7,8,5,7,6,7,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
9,9,8,9,6,6,7,7,5,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
9,8,7,9,6,8,9,8,5,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
10,7,9,9,9,8,9,9,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
8,9,10,8,8,9,8,9,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
7,9,11,9,7,8,10,9,7,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
8,8,11,8,8,6,6,8,7,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; portugal; madeira
6,8,10,7,8,8,9,9,8,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; portugal; madeira
