EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,9,10,7,12,10,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
11,9,11,12,7,12,12,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
12,9,12,12,7,12,12,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
12,9,12,12,8,12,12,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
12,9,12,10,8,11,11,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
12,9,12,10,9,10,11,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
10,9,12,11,9,11,11,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
10,9,12,12,10,12,12,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
9,10,12,12,11,12,11,11,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
9,10,12,11,12,12,11,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
11,10,12,10,12,12,11,12,12,12,nobel; port; armutu; internet; rahupreemia; turupositsioon; poliitika; portaal; relv; kristjan; mõjuvõim; veebiteenus
