lemma;upos;ner tag;count;stopword
no;INTJ;O;14;no
natuke;NOUN;O;1;no
teatraalne;ADJ;O;1;no
liigutus;NOUN;O;1;no
tegema;VERB;O;25;yes
,;PUNCT;O;664;no
kutsuma;VERB;O;3;no
hundiuurija;NOUN;O;8;no
Ilmar;PROPN;O;17;no
Rootsi;PROPN;O;8;no
ja;CCONJ;O;246;yes
Marko;PROPN;O;12;no
Kübarsepa;PROPN;O;4;no
loodus;NOUN;O;3;no
välja;ADV;O;9;yes
mina;PRON;O;135;yes
võima;AUX;O;19;yes
see;DET;O;115;yes
jutt;NOUN;O;9;no
ju;ADV;O;7;yes
kenasti;ADV;O;2;no
ka;ADV;O;89;yes
kuskil;ADV;O;4;yes
laud;NOUN;O;2;no
ümber;ADP;O;1;yes
ajama;VERB;O;4;no
sest;SCONJ;O;10;yes
et;SCONJ;O;170;yes
mingisugune;DET;O;2;yes
lootus;NOUN;O;2;no
hunt;NOUN;O;126;no
nägema;VERB;O;8;no
ei;AUX;O;95;yes
olema;AUX;O;376;yes
aga;CCONJ;O;61;yes
hundijutt;NOUN;O;1;no
tulema;VERB;O;33;yes
Alam-Pedja;PROPN;O;15;no
looduskaitseala;NOUN;O;8;no
üks;DET;O;33;yes
soosaar;NOUN;O;1;no
.;PUNCT;O;229;no
ütlema;VERB;O;38;no
kas;ADV;O;27;yes
ikka;ADV;O;17;yes
tegelikult;ADV;O;21;no
hea;ADJ;O;6;no
hundimaa;NOUN;O;2;no
hakkama;VERB;O;22;yes
minema;VERB;O;15;yes
ligi;ADV;O;2;yes
kaheksas;ADJ;O;1;no
aasta;NOUN;O;24;no
siin;ADV;O;39;yes
käima;VERB;O;22;no
tõesti;ADV;O;7;yes
väga;ADV;O;33;yes
meeldiv;ADJ;O;1;no
esimene;ADJ;O;6;no
kord;NOUN;O;11;no
sattuma;VERB;O;4;no
seal;ADV;O;42;yes
97.;ADJ;O;1;no
talv;NOUN;O;4;no
siiamaani;ADV;O;3;no
loodetavasti;ADV;O;1;no
jätkuvalt;ADV;O;1;no
edaspidi;ADV;O;2;yes
millal;ADV;O;5;yes
sina;PRON;O;47;yes
kõigepealt;ADV;O;5;yes
?;PUNCT;O;24;no
Marcust;PROPN;O;1;no
nüüd;ADV;O;22;yes
natukene;ADV;O;8;no
varem;ADV;O;2;no
siia;ADV;O;6;yes
nimelt;ADV;O;4;no
see;PRON;O;167;yes
1985.;ADJ;O;1;no
suvi;NOUN;O;5;no
luss;NOUN;O;1;no
päev;NOUN;O;7;no
viima;VERB;O;2;no
läbi;ADP;O;3;yes
Endla;PROPN;O;3;no
siis;ADV;O;116;yes
saama;VERB;O;24;yes
tuttav;ADJ;O;2;no
mees;NOUN;O;10;no
kes;PRON;O;28;yes
nimi;NOUN;O;2;no
Kaarel;PROPN;O;3;no
Pedja;PROPN;O;2;no
tema;PRON;O;139;yes
elama;VERB;O;9;no
rõikas;ADJ;O;1;no
Põltsamaa;PROPN;O;5;no
jõgi;NOUN;O;3;no
kallas;NOUN;O;2;no
mäletama;VERB;O;3;no
kuidas;ADV;O;12;yes
peale;ADP;O;7;yes
rääkima;VERB;O;12;no
kuna;SCONJ;O;5;yes
raba;NOUN;O;3;no
serv;NOUN;O;1;no
kuulma;VERB;O;7;no
tihti;ADV;O;3;no
oma;PRON;O;35;yes
koduuks;NOUN;O;1;no
pealt;ADP;O;2;yes
ulg;NOUN;O;3;no
loomulikult;ADV;O;8;no
kohe;ADV;O;2;yes
huvitama;VERB;O;2;no
leppima;VERB;O;1;no
Kaarli;PROPN;O;4;no
kokku;ADV;O;2;yes
karbema;VERB;O;1;no
juur;NOUN;O;1;no
rikal;ADV;O;1;no
viis;NUM;O;2;no
kuni;ADP;O;2;yes
surm;NOUN;O;2;no
liikuma;VERB;O;7;no
palju;PRON;O;4;yes
Viljandipoolne;PROPN;O;1;no
küljes;NOUN;O;2;yes
Peter;PROPN;O;1;no
oja;NOUN;O;1;no
ümbrus;NOUN;O;2;no
otsima;VERB;O;3;no
sealt;ADV;O;4;yes
hundipesapaik;NOUN;O;1;no
leidma;VERB;O;4;no
küllaltki;ADV;O;4;no
kindel;ADJ;O;4;no
tunnus;NOUN;O;2;no
kusagil;ADV;O;1;yes
pidama;AUX;O;14;yes
pesitsema;VERB;O;1;no
muidugi;ADV;O;18;yes
peibutama;VERB;O;4;no
hundikari;NOUN;O;9;no
Eesti;PROPN;O;3;no
kõige;ADV;O;13;yes
suurem;ADJ;O;8;no
kui;ADV;O;7;yes
suur;ADJ;O;17;no
üldse;ADV;O;10;no
kindlasti;ADV;O;25;no
väide;NOUN;O;1;no
suurim;ADJ;O;1;no
sõltuvalt;ADV;O;4;no
kaastus;NOUN;O;1;no
seitse;NUM;O;1;no
jooksul;ADP;O;1;yes
nii;ADV;O;72;yes
erinev;ADJ;O;3;no
suurus;NOUN;O;1;no
karjuma;NOUN;O;1;no
mõni;PRON;O;6;yes
väike;ADJ;O;2;no
mõni;DET;O;10;yes
naaberala;NOUN;O;1;no
jahimees;NOUN;O;7;no
aktiivsus;NOUN;O;2;no
mitte;ADV;O;21;yes
ainult;ADV;O;14;yes
muu;PRON;O;6;yes
tegur;NOUN;O;1;no
mäng;NOUN;O;2;no
oletama;VERB;O;1;no
10;NUM;O;5;no
loom;NOUN;O;18;no
kanti;ADP;O;1;no
keskeltläbi;ADV;O;3;no
möödunud;ADJ;O;2;no
kevad;NOUN;O;3;no
jääma;VERB;O;10;no
kuusia;NOUN;O;1;no
liising;NOUN;O;1;no
pesakond;NOUN;O;2;no
ilmselt;ADV;O;8;no
vana;ADJ;O;5;no
Units;PROPN;O;1;no
lahkuma;VERB;O;3;no
kandma;VERB;O;1;no
üheksa;NUM;O;2;no
kuni;CCONJ;O;2;yes
looma;VERB;O;1;no
julge;ADJ;O;1;no
kümnendik;NUM;O;2;no
eesti;ADJ;O;2;no
teadma;VERB;O;18;no
asi;NOUN;O;20;no
juurdekasv;NOUN;O;1;no
oodatu;NOUN;O;1;no
rohkem;ADV;O;10;yes
huntama;VERB;O;1;no
kui;SCONJ;O;78;yes
vaevalt;ADV;O;2;no
100;NUM;O;2;no
küllap;ADV;O;5;no
võib-olla;ADV;O;16;yes
juba;ADV;O;15;yes
120;NUM;O;1;no
130;X;O;1;no
moodustama;VERB;O;4;no
oskama;VERB;O;9;no
enne;ADP;O;1;yes
lumi;NOUN;O;3;no
tulek;NOUN;O;1;no
raske;ADJ;O;6;no
miski;PRON;O;16;yes
prognoosima;VERB;O;1;no
maha;ADV;O;2;no
palju;ADV;O;23;yes
täpsem;ADJ;O;1;no
pilt;NOUN;O;2;no
praegu;ADV;O;12;yes
keeruline;ADJ;O;2;no
täpselt;ADV;O;3;no
kari;NOUN;O;17;no
valju;DET;O;1;no
hundiasurkond;NOUN;O;1;no
olema;VERB;O;10;yes
varsti;ADV;O;2;no
ilmuma;VERB;O;1;no
raamat;NOUN;O;2;no
inimene;NOUN;O;28;no
suhe;NOUN;O;5;no
ajalugu;NOUN;O;2;no
Eestimaa;PROPN;O;6;no
kunagi;ADV;O;10;yes
gilsalt;ADV;O;1;no
praegune;ADJ;O;2;yes
uskuma;VERB;O;7;no
baltisakslane;NOUN;O;1;no
Petrid;PROPN;O;1;no
poolt;ADP;O;5;yes
kaheksa;NUM;O;2;no
teine;ADJ;O;3;yes
eestlane;NOUN;O;1;no
kiri;NOUN;O;1;no
panema;VERB;O;6;no
kohtama;VERB;O;1;no
20;NUM;O;2;no
seitsepealine;NOUN;O;1;no
reis;NOUN;O;2;no
Krood;PROPN;O;1;no
mõis;NOUN;O;3;no
Virumaa;PROPN;O;2;no
vist;ADV;O;7;yes
hull;ADJ;O;4;no
eksima;VERB;O;1;no
veidma;VERB;O;1;no
ide;NOUN;O;1;no
ise;PRON;O;12;yes
ala;NOUN;O;6;no
kuulama;VERB;O;5;no
või;ADV;O;3;yes
nojah;INTJ;O;2;no
sageli;ADV;O;2;no
harva;ADV;O;1;no
mis;PRON;O;36;yes
nagu;SCONJ;O;36;yes
ilm;NOUN;O;1;no
ennem;ADV;O;5;yes
samamoodi;ADV;O;6;no
isegi;ADV;O;9;yes
üks;NUM;O;2;yes
150;NUM;O;1;no
mitu;DET;O;3;yes
niiviisi;ADV;O;3;no
küsima;VERB;O;6;no
hundima;VERB;O;1;no
selgelt;ADV;O;1;no
ei;ADV;O;4;yes
küll;ADV;O;16;yes
jah;ADV;O;13;yes
Tartumaapoolne;PROPN;O;1;no
üle;ADP;O;4;yes
käinud;ADJ;O;2;no
pärast;ADP;O;10;yes
õis;NOUN;O;2;no
mets;NOUN;O;10;no
lähtuvalt;ADV;O;1;no
küllalt;ADV;O;1;no
testiv;ADJ;O;1;no
tundma;VERB;O;6;no
tähendama;VERB;O;5;no
õigesti;ADV;O;1;no
aru;NOUN;O;4;no
just;ADV;O;17;yes
tõeline;ADJ;O;1;no
jätma;VERB;O;3;no
nii-öelda;ADV;O;15;no
vastavalt;ADP;O;3;no
tont;NOUN;O;2;no
vastama;VERB;O;5;no
saama;AUX;O;12;yes
aspekt;NOUN;O;2;no
territoriaalne;ADJ;O;2;no
või;CCONJ;O;41;yes
lihtsalt;ADV;O;8;no
soov;NOUN;O;1;no
suhtlema;VERB;O;3;no
mõlema;PRON;O;2;yes
hääl;NOUN;O;10;no
sobiv;ADJ;O;2;no
aeg;NOUN;O;12;no
koht;NOUN;O;6;no
ahvatlema;VERB;O;1;no
õpetaja;NOUN;O;1;no
seesama;ADJ;O;1;yes
laenama;VERB;O;1;no
kassett;NOUN;O;2;no
Ameerika;PROPN;O;4;no
suguvend;NOUN;O;1;no
ega;ADV;O;6;yes
üritama;VERB;O;1;no
harjutama;VERB;O;2;no
vagi;NOUN;O;1;no
vaja;ADV;O;5;no
täiendama;VERB;O;1;no
edasi;ADV;O;7;yes
põhiosa;NOUN;O;1;no
lasuma;VERB;O;1;no
vanakoolipuhuja;NOUN;O;1;no
kool;NOUN;O;2;no
tegelema;VERB;O;3;no
pioneer;NOUN;O;1;no
veel;ADV;O;16;yes
Ilvar;PROPN;O;2;no
käest;ADP;O;1;yes
üle;ADV;O;4;yes
õpilane;NOUN;O;3;no
iseõppija;NOUN;O;2;no
keegi;PRON;O;6;yes
täiesti;ADV;O;5;yes
algus;NOUN;O;3;no
80.-te;ADJ;O;1;no
pool;NOUN;O;3;yes
noh;INTJ;O;10;yes
enam;ADV;O;5;yes
tagasi;ADP;O;3;yes
kusagilt;ADV;O;2;no
raadius;NOUN;O;1;no
niimoodi;ADV;O;14;yes
hundiulk;NOUN;O;1;no
püüdma;VERB;O;5;no
ime;NOUN;O;2;no
tsiteerima;VERB;O;2;no
kodu;NOUN;O;4;no
tuba;NOUN;O;1;no
tasakesi;ADV;O;1;no
naaberkorter;NOUN;O;1;no
kostma;VERB;O;1;no
hiljem;ADV;O;4;no
proovima;VERB;O;1;no
95.;ADJ;O;1;no
tooma;VERB;O;1;no
abi;NOUN;O;2;no
imiteerima;VERB;O;1;no
oskus;NOUN;O;2;no
pikem;NOUN;O;1;no
arenema;VERB;O;1;no
moment;NOUN;O;1;no
vastane;NOUN;O;1;no
september;NOUN;O;6;no
1987;NUM;O;1;no
sammas;NOUN;O;1;no
poole;ADP;O;5;yes
kõik;DET;O;6;yes
alati;ADV;O;8;yes
külaline;NOUN;O;1;no
Nolind;PROPN;O;1;no
kolama;VERB;O;1;no
hetern;NOUN;O;1;no
Laashoone;PROPN;O;1;no
turvakur;NOUN;O;1;no
kõik;PRON;O;4;yes
õhtu;NOUN;O;2;no
öösiti;ADV;O;1;no
juures;ADP;O;3;yes
laut;NOUN;O;2;no
lakk;NOUN;O;1;no
ehk;CCONJ;O;1;yes
uluma;VERB;O;2;no
öö;NOUN;O;5;no
nädalavahetus;NOUN;O;1;no
Nov;PROPN;O;1;no
vaatama;VERB;O;7;no
Karli;PROPN;O;1;no
viljavesk;NOUN;O;1;no
ära;ADV;O;5;yes
kell;NOUN;O;1;no
pool;NUM;O;1;yes
12;NUM;O;1;no
õlu;NOUN;O;1;no
teine;PRON;O;8;yes
kolmas;ADJ;O;1;no
kutse;NOUN;O;1;no
järel;ADP;O;1;yes
üksikisahunt;NOUN;O;1;no
vastaski;ADV;O;1;no
esmakordne;ADJ;O;1;no
vastus;NOUN;O;3;no
neljajalgne;ADJ;O;1;no
elav;ADJ;O;1;no
elamus;NOUN;O;2;no
õnnehetk;NOUN;O;1;no
peaaegu;ADV;O;5;yes
terve;ADJ;O;5;no
tund;NOUN;O;1;no
miks;ADV;O;6;yes
vahel;ADP;O;3;yes
omamoodi;ADV;O;1;no
hobi;ADJ;O;1;no
samas;ADV;O;5;yes
bioloogiline;ADJ;O;2;no
elu;NOUN;O;11;no
peamine;ADJ;O;1;no
arvama;VERB;O;14;no
ikkagi;ADV;O;5;yes
eks;ADV;O;13;yes
hobi;NOUN;O;1;no
kiremont;NOUN;O;1;no
selline;DET;O;15;yes
kus;ADV;O;17;yes
enne;ADV;O;2;yes
vot;ADV;O;1;yes
järgi;ADP;O;3;yes
võimalik;ADJ;O;3;no
isend;NOUN;O;5;no
vahe;NOUN;O;4;no
