EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
incognito Christine teene;tšak Andres Roosileht;Silver hoiatab Kadri-Anni;Ükssilm hirmsam mereröövli;erilist koju koju;Silver Ükssilm hirmsam;mereröövel Silver Ükssilm;Silver pakub hobuse
esine incognito Christine;Ja lapsed Ei;admiral Silver Ükssilm;Ükssilm äkki otsib;hirm hirmsam hirmsatest;mereröövel Silver Ükssilm;kuuldemängu Silver Ükssilm;Aga Ja pealegi
helirežissöör Andres Osades;kassi See Sugugi;hirmus mereröövel Silver;tõepoolest Väikese reisiseltskonna;tooma otsima kindla;Silver Ükssilm muretse;raamatu Silver Ükssilm;Aga ütles Inga
Silver Mihkel tikkerpalu;Mina esine incognito;Silver Ükssilm hirmsam;meeldib Olgu tore;admiral Silver Ükssilm;raamatu Silver Ükssilm;Kuuldemängu Silver Ükssilm;Silver Ükssilm kolmas
mõte põli mõte;maaisand valgevad lampjalg;Silver Ükssilm kartmatu;Ükssilm kartmatu Kadri-Ann;tekib soov hobust;otsiks Silver Ükssilm;Silver Ükssilm kolmas;pakub hobuse viskaja
Inga ino hinganito;Röövid silver kadriannile;Silver Ükssilm muretse;mängib Ja Ega;merede hirm hirmsam;Silver Ükssilm kartmatu;Silver Ükssilm hirmsam;Ja võimalik Ainult
ino hinganito mängib;odraiva Mida näed;otsiks Silver Ükssilm;ino hinganito mängib;ammu näinud tea;Nii Silver Ükssilm;otsiks Silver Ükssilm;Ta liigutab mööblit
ütles Inga ino;kartmatu Kadri-Ann röövretkele;hobust Silver pakub;lahti hoidma Kadri-Ann;kaugusest küsimist ähkimist;Silver Ükssilm äkki;Silver Ükssilm selslandi;võib-olla pantvang tõepoolest
tšak Andres Roosileht;pakub hobuse viskaja;Silver Ükssilm kolmas;Mis tuuled reisiseltskonda;viis jalga parem;Silver Ükssilm kolmas;Silver Ükssilm äkki;koju koju tüdrukud
hirmus mereröövel Silver;kostubki kaugusest küsimist;mereröövel Silver Ükssilm;Eelmises osas selslandi;Siin erilist koju;kuuldemängu Silver Ükssilm;Ükssilm kolmas osa;nime Ühesõnaga maskeeritult
Silver Ükssilm selslandi;tikkerpalu Kadri-Ann Kaisa;soov hobust Silver;äkki otsib aardekaarti;admiral Aga ütles;Kuuldemängu Silver Ükssilm;Ükssilm selslandi hirmus;lääne Lõppes kuuldemängu
Silver Ükssilm Felslandi;rattu Silver eksilm;silver kadriannile parimas;lääne Lõppes kuuldemängu;magada Siin erilist;Ükssilm hirmsam mereröövli;hirmus mereröövel Silver;See Araabia kõrb
kaubalaevast Röövid silver;lunarahaks riisipirukaid Kadri;raamatu Silver Ükssilm;Ükssilm selslandi hirmus;hirmus mereröövel ainetel;hirmus mereröövel Silver;Silver Ükssilm kartmatu;meeldib Olgu tore
Karl Sagrits helirežissöör;möirgab tuuaad jaapargood;Silver pakub hobuse;Kadri-Ann röövretkele mürmagoonia;See See lamp;Silver hoiatab Kadri-Anni;admiral Silver Ükssilm;Ükssilm Felslandi hirmus
Andres Osades Silver;lunamaksuks võtab riisipirukaid;Ükssilm kartmatu Kadri-Ann;ainetel dramatiseeri lavastas;ino hinganito mängib;Ükssilm Felslandi hirmus;Silver Ükssilm muretse;Jack armastab riisipirukaid
Sagrits helirežissöör Andres;Ei tea Kaks;Nii Silver Ükssilm;häälega ütelda mereröövli;parem Mulle meeldib;Varjan vaarial teepirukaid;Ükssilm kartmatu Kadri-Ann;mööblit otsiks Silver
Osades Silver Mihkel;Karl Sagrits helirežissöör;muretse Kadri See;raamatu Silver Ükssilm;ustav hobune Tanale;paka Silver hoiatab;Nii Silver Ükssilm;Hea Tulge näitan
See Araabia kõrb;Silver Reek Mida;kartmatu Kadri-Ann röövretkele;Silver Ükssilm äkki;kaugelt valjugesimise järgib;esineb Silver Reek;Silver Ükssilm Felslandi;kindla lääne Lõppes
Kadri-Ann Kas näed;tähendab ruumi Meil;Kuuldemängu Silver Ükssilm;See lamp jalgsi;See tavaline känd;Ükssilm selslandi hirmus;Ükssilm hirmsam mereröövli;miili kaugusel tunnen
Kadri-Ann Kaisa Selde;karvavõrdki Mees kassi;kuuldemängu Silver Ükssilm;neiu Kristiine Getter;parimas suksu viie;mariannilt lunarahaks riisipirukaid;Ükssilm Felslandi hirmus;ainetel Eelmises osas
Lõppes kuuldemängu Silver;Ja Jack möirgab;Kadri-Anni verivaenlase hirmsa;Igaks juhuks silmad;tavaline känd nöör;Ükssilm kartmatu Kadri-Ann;kaubalaevast Röövid silver;juhataja tüdrukud Aita
tikkerpalu Kadri-Ann Kaisa;lummi tähendab ruumi;Silver Ükssilm selslandi;Silveltsin nime Ühesõnaga;lapsed Ei tea;Silver Ükssilm selslandi;Silver hoiatab Kadri-Anni;habet kõnnak Ja
tõepoolest lampjalg Jack;Aita Tulge näitan;Silver Ükssilm äkki;pärida seegi inkognito;ainetel Eelmises osas;rattu Silver eksilm;Ükssilm muretse Kadri;koju tüdrukud aidas
