EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Edison Denissi;Ka ooperilooming;osadest ooperites;mängitavaim Lutšiaadi;number aaria;Estonia teatris;uuslavastustest Jüri;Venemaal eriti
natuke võib-olla;1984 -sse;Oleme teatrilukkudega;aasta lavastuses;roll ;Eestimaal lauljad;Oleme teatrilukkudega;publikule võib-olla
Etendus Estonia;vokaalkunstiajalukku Paul;1984 -sse;Verdi ooperis;suutis artist;teatris Vanemuises;Tambergi ooperis;Ja räägime
viibite Te;maitsele koge;teatris Vanemuises;kuulus ooper;pahianast number;muutusid eestlastele;Estonia teatrid;laulja hääl
See probleem;Meie laval;põhiväärtuseks Muusikas;võimalusi lauljatele;omandatav asi;enamik ooperisõpru;teatri solistid;võttis jõudu
meenutustega aastasse;Kunstnikuks jaakpaus;aprillil Etendus;Libretist Demiidovi;kolmas number;ooperi Luczia;Ning lühiooperis;võib-olla muutsin
Rossini laulukool;Schwerin'i linnateatrist;õhkkond laval;näitab õppimisega;näidata maksimaalset;Venemaal kontsertreisil;laulja Estonias;ooperist lend
oska regaaliate;lavastaja arvestab;eriti Tambergile;Aga olukorras;See probleem;lõpustseenid kooristseenid;Eesti ballaadid;inimestele kuulub
teemade üldsemates;aastasse Teil;Kõigepealt hooaeg;Leningradi konservatooriumis;eriline soon;solistid Leili;balletiõhtuga Me;nimelt 30
ümbertõstmine ümbertõstmised;Ja tantsisite;tööl kergendada;hiljem järgnes;roll pakkus;lavastuses Ka;Miks lavastuslikult;öelda tasemel
Murdmaakunstnik Mari-Liis;tonitsetit lauljale;teksti sisuga;Aga kaks;võimaluse näidata;Oleme teatrilukkudega;aprillil Etendus;60 aastate
muutsin hääleasendit;Anu Kaal;laulupedagoog Ivo;Krumm-ile Ivo;teksti sisuga;Wagneri ooperite;13 lugu;võib-olla mujalgi
lavaelu elu;Edison Denissovi;Jääme Hoyermanni;lavastajaks Detlef;probleem aktuaalne;hollandlase etendusel;laval eesti;üleolek no
laulnud armastusteemalised;käisime ooperiga;esinesid Tamara;Ja asi;vastavalt maitsele;yldse Mozartit;Me repertuaari;84 aastal
laulmata Aariad;Ja kurioosne;Mäletan etendusel;11 korda;uut fluidumi;Carmenit Riias;lõpupoole naispeaosalisena;Sest tegemist
teatrikülastajaid tunnevad;balletiõhtuga Me;Ja ooper;maha võtta;jalaoperatsioon arvasin;ooper uuesti;ooperist lend;üldse alguses
keeles melomaanidele;grantsis Jevgeni;lauljale oodatud;tunnet jättis;Et võttis;etenduse harvaesineva;Schwerin'i linnateatrist;Võib öelda
meeleolu muutustele;peategelase Monali;eriliseks ürituseks;Lavastaja Detlef;võim anda;orkester moodustas;Verdi tänapäeval;paari-kolmepäevane vahe
atribuutika Venemaal;Brasiilia pahianast;ema osa;jõudnud 1984;võib-olla näiteks;vokaalse näitlejameisterlikkuse;Esinemine linnas;kogemusi paari-kolmepäevane
lausa ängistav;Aleksandr Demiidowit;algas balletiõhtuga;Hulk peategelase;alus võimaldab;paralleeli Leedu;roll näiteks;kuulamas käinud
kirjutatud niipalju;suur meisterlikkus;orkester moodustas;helilooja balletis;Aga head;Tammel Ivo;Carmen müüdud;mitmegi huvitava
ütles publik;laval võimalusi;hingamise tuge;perspektiivsed Sellepärast;number õhtus;Itaalia laulukooli;armastusteemalised lend;selge mõtle
laulsin asju;laval Giorgi;Wagneri ooper;Rossini laulukool;Nimelt fragment;esinesid Tamara;Millerit kaheksa;alguses Joonas
number aaria;hollandlase etendusel;fluidumi asjas;antud materjalist;publik aru;laulnud Eino;ballettmeister Tiit;mäletan aeg
kulminatsiooni kõrget;õpilastele Raadiokuulajad;Maiste Ervin;Ja lõpuks;soon armastus;Etenduse lavastas;Meie saatust;Ja üldse
ooper meeldis;kahtlemata Giuseppe;Võib-olla kohas;suur meisterlikkus;inimene areneb;lavastuses Aarne;eelarvamustest Lennu;põnev aasta
tasapinnale Hulk;lavastajaks Detlef;Mozartit laulda;Teil aastal;koormu ütlen;publikule võib-olla;Teiste hiljem;Teiste hiljem
solistid Leili;artistina Ning;erinevates linnades;tüürime ameti;Ning roll;keeles melomaanidele;esinesid Tamara;määrab antud
inimesed inimestel;Üheks suureks;Nii laulsin;Muidugi inimene;etenduse loome;Nilsson Ja;täna stuudios;eriti Mushowski
jalaoperatsioon arvasin;Palmi Esinemine;tundub eile;Nukumängus lõid;anda maksimumi;Tambergi armastusejanu;kirjutanud etenduse;näiteks tuua
tähtsuse olulisuse;meditatsioon kuulusid;Peaosades tüdruku;kuulub võimalus;ooper elas;Pedro Nukumängus;Othello õigusega;Arvo Walton
Vanemuises loonud;andnud inimtunnetele;lendamise variandid;Sellepärast vähe;fragment balletist;Anssimovi Pokrovski;Travjaata Luisa;järjest ruineerib
konservatooriumis Neil;laulma Siis;Peamise teabe;selgust oluliseks;etenduse Et;Lutsk reise;Tiitärmise tantsis;võib-olla natuke
viimasel ajal;Nimelt fragment;Peeter Lilje;aastast 1984;suutis inimene;lauljad Birgit;Eino Tambergi;selja kolm
sisemus Ta;Ja loonud;osas Teo;mõjusad Ja;etendustest nisugune;osalesid Hendrik;Estonia Pärit;paraparalleel võib-olla
asja võimalik;Nii Tenurikele;tüki koreograafiks;amores superteos;vormida Kui;Giuseppe Verdi;lavastajaks Detlef;Sust balleti
hea laulupedagoog;Me repertuaari;aariaga Tähendab;Pärit ajal;esimesi suuri;Tatjana Voronina;silmapaistvamaks Tenuriks;Ma tahaks
mitmed-mitmed kuud;See moodustas;ütleksite suhetest;lavastaja koreograaf;mitmekülgsust annab;meediaatri laval;Mai Murdmaakunstnik;See erakordselt
rolliks kõrvuti;lavastuses Nüüd;Schwerin'i linnateatrist;raske Just;materjalist maksimumi;Heleri Tammel;kohtumine Wagneri;väljendada võib-olla
Haige Noh;Krumm-ile Ivo;eestlastele arusaadavaks;vene bojaaride;Noh andnud;lugesin Basheenovi;mängitavaim Lutšiaadi;nimi Mõlemat
tantsulist psühholoogilise;häält Noh;Kui emakeeles;Lendav Hollandlane;tunde tunde;Milano La;Palmi Esinemine;tuua asja
Tambergi lendu;arusaadav 84;terviklikkuse rollide;Oluliselt muutunud;aeg tähendab;Soomes Giid;kunstimalli Tegelikult;meloodiline muusika
tegelikult lennuga;aprillil Etendus;Tegelikult lavastaja;tegevuslik areng;tahaks arvatavasti;suurde kultuuripärandisse;osalesid Hendrik;Ja meeldib
kultuuripärandisse Venemaal;Edgartuaaria hilisemas;tulevastele põlvedele;näen libreto;võim võim;aplaus Margareeta;vokaalkunstiajalukku Paul;kohtades erinevad
Teravat kontrasti;illustratiivsusega sentimentaalsevõitu;taastamisega Muidugi;meeldis meeldis;roll näiteks;saalis Kinni;Venemaal kontsertreisil;kerge vaba
hilisemas lavastuses;tenoripartiide kuningaks;põhjused jalaoperatsioon;hotello nimiosa;ooper See;hotelloga Vahepeal;TÖÖ konservatooriumi;garantsis paljud-paljud
väljend väljendunud;südametunnistus omapärasele;paari-kolmepäevane vahe;sima roosa;taas initsiatiivi;Neeme Järvi;arusaadav 84;Margarita Voites
arvatavasti raadiokuulajate;Aziz Teiseks;raske põhisüüdlasena;libreto Arvo;pakkus Et;Väino Puura;Joonas tänavitsus;tonitseti looming
mõeldud ooper;Giuseppe Verdi;Arne Mikule;küla Peaosades;ekstet Selle;kuulamas käinud;Itaalia laulukooli;kuus kuud
