EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Dietrich ütles;Joachim Hector;Saksamaa sajandil;Berliinis ehitati;olevast suhteline;seitsmekümnendad saksas;Berliinist varemeis;korruseline esimene
hotell 1939;Wilhelmi mälestuskirik;kahekümnendatel vaimustusega;võtsid alata;esmakordselt anna;raadiosaadet Saksamaal;Ajalugu omamoodi;10 sajandil
linna nimi;Berliinist töölisklassi;1939 45;Saksamaal valitsesid;akna istuma;viiekümnendatel mängis;Ükskord ammu;53 aastat
suur osa;kloostreid linnunende;Midagi vana;anna 1244;uus partei;mängis raadio;Tuntud lugu;Ja võimalik
jäänud Tohutud;kunstnike kohtumispaik;telepilti maailmas;idapoolele vastupidi;torn taeva;naiivsetena lapsepõlve;Täna Linn;lahkusid 1813
korrati teleülekandes;Uusasukad Prantsusmaalt;Kui mõelda;jõudis põgeneda;uus saksa;lõbus kolkamerelaulud;natsionaalsotsialistlik Saksa;12 sajandi
Ka aval;pühendasid Linna;varieteeprogramme vaadata;kindla rütmiga;kindel käsk;jõudis aastatuhande;valmis 1895;1953 aastal
säästnud On;soost valitsejate;ööklubides kaba;iirimatult olevate;hulk uusi;Minski lapselaps;muusikat laager;varem Kõik
Lääne-Berliinis mured;Vaidlused intellektuaalsete;paraadil 1900;Kaheteistkümnendal sajandil;tamm See;linnunende Berliin;lahkusid 1813;Aastal 1806
seisab brandenburgi;Lääne-Saksamaale Novembrikuu;vaheldus kõlab;väed Aastal;vapustav noor;mõeldes tajusin;impeeriumi pealinnaks;aastal 1734
