EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,8,3,3,4,5,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,4,5,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,4,5,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,4,5,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,4,4,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,7,2,3,4,6,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
2,8,5,5,4,7,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
4,8,5,5,5,7,7,7,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; vitamiin; töö; nakkus; pidalitõbi
6,6,4,6,5,6,6,7,5,13,lõpp; peeter; hellat; sajand; arstiteadus; töö; isolatsioon; vitamiin; pidalitõbi; nakkus; meditsiin
8,6,3,4,5,6,6,7,5,13,lõpp; peeter; hellat; sajand; arstiteadus; töö; isolatsioon; vitamiin; pidalitõbi; nakkus; meditsiin
9,6,7,4,5,6,6,7,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
