EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Calgary päevil;Eesti noortele;Ain-Alar Johanson;tegelesin triatloniga;distantsiga load;puhuvad külaliseks;raadio kahes;spordikuulsustele Ain-Alar;täna võib-olla
misena Golden;Briatledil 30;spordikuulsustele Ain-Alar;Meie vaatevinklist;load profiil;meel näha;hääldada kogunenud;spordijuhiga Heino;kutsuda ilmselt
fiiling lõpus;panna jooksumees;tavalise sportlasena;Ei prügikastialane;asi head;Tere Tere;räägime kuulajate;Juhanson triatleet;nii-öelda aktiivselt
Lanzarote hästi;Veerpalu Kalju;juhtub Ironmani;Readlettidega üldse;alternatiiv raja;kahjuks eesti;tõelised eesti;Ain-Alar õnnestus;tähendab 24
armen Lanzarote;Ja kindlat;üldse triatloni;tegelikult niukse;nurka totaalselt;eesti triatlon;vaata Raadio;ametlikult Ain-Alar;neli kilomeetrit
Lanzarote misse;kuuldub ujumine;mõnusat adrenaliini;täitsa tipp-topp;forever tegelikult;Mina profimeeste;Lanzarote kuulda;Ironman aastasse;tegelikult kindlasti
Albert olümpial;aastane tuksis;Ain-Alar õnnestus;meelehärmiks eraldi;null madonna;Ain-Alar Johanson;kuulajate asjad;triatloni maaeluministriga;kindlasti jääb
Readlettidega üldse;auhind Ei;võib-olla Eestist;distsipliini paika;kaks arvan;Tallinnas tubli;tuttavad kutsunud;Ain-Alar kasutused;aeg-ajalt räägitud
prügikastialane püüad;lõpp Vahet;Johanson Tere;Eestis siiamaani;head ujujat;heas tuttavas;eesti armeli;teisisõnu triatloni;nii-öelda võistluse
õnnestus 94;jaanuarikuu keskpaik;jaanuarikuu keskpaik;päevis Uno;tookord traagilist;Sõbrad-tuttavad kutsuvad;puhuvad külaliseks;tunnustatud triatlonitreeneri;võib-olla eksinud
