EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
6,6,6,6,7,5,7,6,4,13,kiri; salaja; aasta; noorsooühing; vangla; nurk; raamat; sidepidamine; kommunistlik; ämber; ajaleht
