EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
6,6,6,6,6,7,7,7,6,12,ajutine; määrus; keelekasutaja; lauseliige; öeldistäis; lausemall; seisund
