EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,7,2,1,7,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,7,2,1,7,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,7,2,1,7,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,7,2,1,7,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,8,2,1,7,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,8,2,1,7,7,7,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,7,2,1,6,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,3,6,2,1,6,7,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
7,3,8,5,2,6,8,6,4,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,4,7,4,1,4,8,6,5,10,mõjutamine; hirm; enesekindlus; küberkurjategija; pettur; sihtrühm; fbi; strateegia; viirus; ahnus
4,4,5,5,1,7,9,6,4,10,mõjutamine; hirm; enesekindlus; küberkurjategija; pettur; sihtrühm; fbi; strateegia; viirus; ahnus
