EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;maa;planeet;seitsmeteistkümnes;;varjatult;märg;mõttemeri;kuskilt
mullasaladus;kandma;lendama;võidutsema;manner;ann;jõgi;võtma;sõiduk
acadciate;pood;taevas;mustvalge;range;mõttemeri;mööduma;omamoodi;kujutama
südantsoojendav;kapsataim;päike;sametikandeisja;pioneer;tahtmatult;surematu;lennuk;mõtlema
viirastus;kirjanik;töötama;värvipliiats;sslast;tulima;üksnes;üksinda;töötama
üksindus;tundma;ruum;vaateväli;andja;kujutlus;süütu;maailmalagendik;vaimukas
võimalik;aed;inimene;lõunaroos;tipp;seiklus;taevas;kuju;tehas
päevik;kaitsemuuseum;kesk-euroopa;sõbralik;tookord;meridiaan;lugematu;nägema;kaunis
kunstivara;johannes;istuma;parašütisiit;kodum;igatsema;fantanka;tapmismõte;vähendama
vineerbass;tallinn;võib-olla;kangelasteo;canon;inimkond;mõttemeri;kõne;tundma
põgenikemurr;sõdur;avastama;tegelikult;andma;jõgi;näima;tühi;esmakordselt
kobrutus;jalutama;sinine;küpsuseksami;kodu;planeet;planeet;tegelikult;klubi
lõbusõit;kunstipalverändur;;sõjakoledus;visa;võib-olla;sini;näide;tega
algajem;kevad;murima;roostetanud;summutatud;ellujäänu;kaugel;miin;öö
läbisõit;trootlema;jälgima;argipäev;ese;rääkima;elu;ümberringi;võimukas
ringsõidulõpe;vereoja;vesi;päikne;hingekell;muutuma;kohtama;kuskilt;tõstma
tõusma;jaan;saar;puies-tee;munder;kaugel;tuuline;üleni;väljendama
lõunaroos;armuma;tavaline;tibatilluke;tore;lahkumine;loogiline;olemasolu;üleskutse
fantanca;muusika;nähtavasti;noorhiiglasekasv;ana;segane;maailmalagendik;vaba;viis
meridiaan;väljendama;üksindus;levima;võimalik;üksindus;kojuminek;lõppsiht;möödas
tööleminek;aasta;paljas;põgenikemurr;sadam;hiljem;natuke;lillenägu;tööline
lippusiit;põlvnema;ajakirjanik;sirgjooneliselt;suplema;küsimus;puu;hingekell;lahkumine
majavabine;prokofjev;juhtuma;kaldapealne;planeet;pikkus;uudishimu;ööbima;üksinda
lubjavilt;keha;perspektiiv;lõbusõit;vare;lihtsalt;seiklus;inimkäsi;aeg
lossiväljak;märk;kohalik;inimelu;aed;unistama;lihtne;sügavamalt;esimene
küsimus;19;näide;igapäevane;taevas;natuke;lõpuks;luuletaja;ehitamine
väärtuslikum;kiirus;stepp;maailmalagendik;tega;taevas;üksindus;parašütisiit;ajal
raamistus;vesi;mullasaladus;ümberringi;klient;purustatud;noorhiiglasekasv;perspektiiv;alustama
piksemürin;ringsõidulõpe;sarnanema;mürisema;uno;lõputu;rahulik;tallinlane;seitsmeteistkümnes
harjumuspärane;kumisema;väiksem;endistviisi;punt;jane;kuulama;lahkumine;eesti
sõjaväemunder;hiiglasuur;aastane;tantsisklema;komme;kasvanud;perspektiiv;võidutsema;kohtumine
sisukus;hang;raamat;selgesti;habe;fantanka;roos;langenud;kõrv
maailmalagendik;;turist;hüdrojaam;nurk;tunne;naiivselt;tahtmatult;korsten
põlvkond;tamm;õlimaa;möödaminnes;inimene;uudishimu;maan-tee;ennenägemata;üldse
hingejõud;rühm;aleksander;viimne;vihm;erni;tunne;voolav;võimalik
pulkova;elanik;sõiduk;põlvnema;hele;kaunis;hiiglaraskus;suurejooneline;muusika
inberiti;hingekell;laine;sümfoonia;toimetus;antu;langema;kaldapealne;tekitama
töölisnaine;küsimus;ähmane;inimkäsi;nukker;kõndima;püsti;liigutavalt;igavene
hüdroelektrijaam;kahjama;algajem;uudishimu;stepp;puu;ilus;väljendama;kirk
lõppsiht;hea;tallinlane;kriiksus;surematu;kodumaa;omane;esmakordselt;võidutsema
galakas;sulgema;leningradlane;vähem;neeva;juurviljapeenar;väsimus;tulipalavalt;hiit
klõpsatus;andma;passiivselt;tornitipp;vanem;peatne;purustatud;selgesti;planeet
rohelus;ellen;muusika;elus;lend;andja;lõhkema;maan-tee;liivakott
kirjandusõht;osa;pilk;ehtne;meel;lõikama;ilm;alustama;kuluma
tibatilluke;canon;kaaslane;kramplikult;kurb;aeg;muutuma;salapärane;kaua
kõrgelt;televisioon;632253;sügavamini;plakat;tapmismõte;aed;lapsuke;sõda
kesk-euroopa;isa;arhitektuur;reliikvia;puru;oa;kevadpuun;ermitaaž;näol
jakolksus;möla;alumiinium;kesk-euroopa;uks;vana;luuletaja;vihapäev;puru
isamaasõda;südantsoojendav;sini;sajand;seisma;loogiline;võib-olla;puhkema;rahulik
mälestussama;päästma;smuul;unustamatu;tapp;surematus;päevane;lugemistuba;põhjamaa
